"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 10 23:04:37 IST 2022","Sat Dec 10 23:04:38 IST 2022","1216","","example to-do app","","","","displays two todo items by default",""
"passed","Sat Dec 10 23:04:18 IST 2022","Sat Dec 10 23:04:21 IST 2022","2844","","Actions","","","",".click() - click on a DOM element",""
"passed","Sat Dec 10 23:04:21 IST 2022","Sat Dec 10 23:04:22 IST 2022","416","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Sat Dec 10 23:04:18 IST 2022","Sat Dec 10 23:04:18 IST 2022","569","","Actions","","","",".submit() - submit a form",""
"passed","Sat Dec 10 23:04:26 IST 2022","Sat Dec 10 23:04:28 IST 2022","2224","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Sat Dec 10 23:04:23 IST 2022","Sat Dec 10 23:04:24 IST 2022","1223","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Sat Dec 10 23:04:26 IST 2022","Sat Dec 10 23:04:26 IST 2022","316","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Sat Dec 10 23:04:26 IST 2022","Sat Dec 10 23:04:26 IST 2022","229","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Sat Dec 10 23:04:40 IST 2022","Sat Dec 10 23:04:40 IST 2022","536","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Sat Dec 10 23:04:39 IST 2022","Sat Dec 10 23:04:39 IST 2022","281","","example to-do app","","","","can check off an item as completed",""
"passed","Sat Dec 10 23:04:22 IST 2022","Sat Dec 10 23:04:22 IST 2022","305","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Sat Dec 10 23:04:16 IST 2022","Sat Dec 10 23:04:16 IST 2022","264","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Sat Dec 10 23:04:38 IST 2022","Sat Dec 10 23:04:39 IST 2022","576","","example to-do app","","","","can add new todo items",""
"passed","Sat Dec 10 23:04:39 IST 2022","Sat Dec 10 23:04:40 IST 2022","506","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Sat Dec 10 23:04:22 IST 2022","Sat Dec 10 23:04:23 IST 2022","1181","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Sat Dec 10 23:04:40 IST 2022","Sat Dec 10 23:04:41 IST 2022","697","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Sat Dec 10 23:04:17 IST 2022","Sat Dec 10 23:04:18 IST 2022","714","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Sat Dec 10 23:04:10 IST 2022","Sat Dec 10 23:04:16 IST 2022","6058","","Actions","","","",".type() - type into a DOM element",""
"passed","Sat Dec 10 23:04:17 IST 2022","Sat Dec 10 23:04:17 IST 2022","576","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Sat Dec 10 23:04:24 IST 2022","Sat Dec 10 23:04:26 IST 2022","1164","","Actions","","","",".select() - select an option in a <select> element",""
